"slug","Title","eyebrow","headline","headline_emphasis","subtitle","bullet_1","bullet_2","bullet_3","bullet_4","valueprop_card_1_title","valueprop_card_1_body","valueprop_card_2_title","valueprop_card_2_body","valueprop_card_3_title","valueprop_card_3_body","valueprop_card_4_title","valueprop_card_4_body","pdf_filename_display","seo_title","seo_description","related_toolkit_slugs","image_alt_text","pdf_url","tier","mechanic_phrase","is_featured","is_archived","second_toolkit_name","second_toolkit_pdf_url","second_toolkit_blurb","field_note_title","field_note_blurb","field_note_url"
"pa-roi-audit","PA ROI Audit Scorecard","TIER 2 · PRIOR AUTHORIZATION · ROI AUDIT SCORECARD","Your PA Program Has a Cost. Few Plans Measure It.","The Five-Metric Scorecard to Audit PA ROI.","A 2-page printable scorecard PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Five-metric PA ROI rubric to score your program","Approval rate, turnaround, appeal-overturn, admin load, member abandonment","Traffic-light scoring: where PA adds value vs. friction","Optimization plan for the metrics scoring red","Score the Five Metrics","Run your PA program against the five-metric rubric: approval rate, turnaround time, appeal-overturn rate, administrative load, and member abandonment. Each scores green, yellow, or red.","Find the Friction","A high appeal-overturn rate means the PA was denying care it should have approved. A high abandonment rate means members gave up at the counter. Both are PA doing harm, not control.","Separate Value from Theater","Some PA saves real money on genuinely misused drugs. Some is administrative theater that delays therapy and generates appeals. The scorecard tells them apart.","This Quarter's Action Plan","Score the program, flag the red metrics, and bring the documented friction points to your PBM. Require turnaround-time and overturn-rate reporting in the next contract cycle.","PA ROI Audit Scorecard","PA ROI Audit Scorecard - Free Download - Prescription Benefit Solutions","The Five-Metric Scorecard to Audit PA ROI. Scorecard PBS uses across 100s of PBM contract reviews annually. Free download.","step-therapy-override, quarterly-reporting, pbm-disclosure-audit","Prior authorization ROI scorecard with traffic-light scoring on five program metrics","[Upload week_16_pa_roi_audit_scorecard.pdf to Wix Media, paste URL]","2","prior authorization ROI","FALSE","FALSE","Step Therapy Override Audit","[Upload week_26_thursday_step_therapy_override_audit.pdf to Wix Media, paste URL]","Prior authorization and step therapy are two halves of the same utilization-management lever. The Step Therapy Override Audit checks whether the override workflow your contract promises actually runs when a member needs it.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"carve-out-decision","Carve-Out Decision Scorecard","TIER 2 · PHARMACY CARVE-OUT · DECISION SCORECARD","Carve Out the Pharmacy Benefit. Or Don't.","The 10-Factor Scorecard Behind the Decision.","A 2-page printable scorecard PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","10-factor carve-out vs. bundled evaluation rubric","Score transparency, rebate flow, data access, and switching cost","Weighted result points to carve-out or stay-bundled","Decision-ready summary for the benefits committee","Score the Ten Factors","Evaluate the carve-out decision across ten factors: pricing transparency, rebate pass-through, data access, clinical control, network flexibility, switching cost, and more. Each scored against your current bundled arrangement.","Weight What Matters","Not every factor weighs the same for every plan. The scorecard lets you weight transparency and rebate flow heavier when those are your live pain points, so the result reflects your priorities.","Read the Recommendation","A high score favors carving the pharmacy benefit out to a transparent PBM. A low score means your bundled arrangement is serving you, or the switching cost outweighs the gain this cycle.","This Quarter's Action Plan","Score the ten factors, document the rationale, and bring the weighted recommendation to your benefits committee. If carve-out wins, the RFP Scoring Audit is the next step.","Carve-Out Decision Scorecard","Carve-Out Decision Scorecard - Free Download - Prescription Benefit Solutions","The 10-Factor Scorecard Behind the Decision. Scorecard PBS uses across 100s of PBM contract reviews annually. Free download.","rfp-scoring-audit, pbm-compensation, optimize-vs-go-to-market","Ten-factor carve-out decision scorecard comparing bundled versus carved-out pharmacy benefit","[Upload week_17_carve_out_decision_scorecard.pdf to Wix Media, paste URL]","2","carve-out vs bundled","FALSE","FALSE","RFP Scoring Methodology Audit","[Upload week_25_thursday_rfp_scoring_audit_worksheet.pdf to Wix Media, paste URL]","If the carve-out decision points to going to market, the RFP Scoring Methodology Audit is what comes next. It checks the scoring weights before the RFP goes out, so the methodology favors your plan and not the incumbent.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"drug-pipeline-watch","Drug Pipeline Watch List 2026-2027","TIER 2 · DRUG PIPELINE · 2026-2027 WATCH LIST","Five Drug Categories Will Hit Your Plan.","The 18-Month Pipeline Watch List.","A 2-page printable reference card PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Five drug categories most likely to move pharmacy spend","Cost framing and plan-impact summary per category","4-item prep checklist for each category","Quarterly pipeline review process + four PBM questions","Know the Five Categories","The watch list tracks the five drug categories most likely to affect pharmacy spend over the next 18 months, each with a cost framing and a plain-language plan-impact summary.","Prep Before the Launch","Each category carries a 4-item prep checklist. Budgeting and utilization-management decisions made before a high-cost launch beat scrambling after the claims arrive.","Build the Quarterly Review","Page 2 lays out a quarterly pipeline review process so the watch list becomes a standing cadence, not a one-time read. Pipeline awareness is a renewal-negotiation asset.","This Quarter's Action Plan","Review the five categories, run the prep checklist on the ones relevant to your population, and put the four PBM pipeline questions on your next quarterly-review agenda.","Drug Pipeline Watch List 2026-2027","Drug Pipeline Watch List 2026-2027 - Free Download - Prescription Benefit Solutions","The 18-Month Pipeline Watch List. Reference card PBS uses across 100s of PBM contract reviews annually. Free download.","biosimilar-readiness, copay-card-calculator, h1-renewal-readiness","Drug pipeline watch list reference card with five drug categories and cost-impact framing","[Upload week_18_drug_pipeline_watch_list.pdf to Wix Media, paste URL]","2","pipeline cost exposure","FALSE","FALSE","Biosimilar Readiness Assessment","[Upload week_22_biosimilar_readiness_assessment.pdf to Wix Media, paste URL]","Biosimilars are one of the highest-leverage pipeline categories. The Biosimilar Readiness Assessment scores whether your plan is positioned to capture the savings as the next wave of biosimilars launches.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"fiduciary-documentation","Fiduciary Documentation Checklist","TIER 2 · ERISA FIDUCIARY · DOCUMENTATION CHECKLIST","Courts Don't Judge Outcomes. They Judge Process.","The Five-Category Fiduciary Documentation Checklist.","A 2-page printable checklist PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Five documentation categories courts evaluate for prudent process","Required records and a 'what good looks like' framing per category","The One-Page Test: five core documents every plan should hold","4-step audit workflow to close documentation gaps","Audit Five Categories","ERISA judges process, not results. The checklist covers the five documentation categories courts evaluate when assessing a prudent pharmacy-benefit process, with the required records for each.","Know What Good Looks Like","Each category includes a 'what good looks like' framing, so you can tell a defensible file from a thin one before a regulator or a plaintiff's attorney does.","Run the One-Page Test","Five core documents decide whether your fiduciary file holds up. If you can't produce all five today, that gap is itself the finding.","This Quarter's Action Plan","Run the five-category audit, take the One-Page Test, and use the 4-step workflow to close the gaps. Fiduciary documentation is cheap insurance against a problem that is very expensive without it.","Fiduciary Documentation Checklist","Fiduciary Documentation Checklist - Free Download - Prescription Benefit Solutions","The Five-Category Fiduciary Documentation Checklist. Checklist PBS uses across 100s of PBM contract reviews annually. Free download.","fiduciary-compliance-audit, pbm-disclosure-audit, pre-meeting-renewal-checklist","Fiduciary documentation checklist with five ERISA categories and a one-page test","[Upload week_19_fiduciary_documentation_checklist.pdf to Wix Media, paste URL]","2","fiduciary documentation","FALSE","FALSE","Fiduciary Compliance Audit","[Upload week_32_thursday_fiduciary_compliance_audit.pdf to Wix Media, paste URL]","The Documentation Checklist builds the file. The Fiduciary Compliance Audit pressure-tests it against the ERISA standard a court actually applies, and documents the co-fiduciary defense that protects the individuals on the committee.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"copay-card-calculator","Copay Card Financial Impact Calculator","TIER 2 · COPAY CARDS · FINANCIAL IMPACT CALCULATOR","Manufacturer Copay Cards Shift Cost. The Plan Absorbs It.","The Five-Step Calculator to Model the Shift.","A 2-page printable walkthrough PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Five-step model of the cost shift from copay cards to the plan","Accumulator vs. maximizer decision matrix","Where the copay-card value actually lands, and with whom","Implementation worksheet for the option you choose","Model the Cost Shift","Walk the five-step calculation to model how manufacturer copay-card dollars shift cost onto the plan, and how much of that value the PBM captures through an accumulator program.","Compare Accumulator vs. Maximizer","The decision matrix lays out copay accumulator against copay maximizer: how each treats the manufacturer's assistance, the member's deductible, and the plan's net cost.","Find Where the Value Lands","The calculator makes visible who actually keeps the copay-card value: the member, the plan, or the PBM. On most contracts it is not the member, and not the plan.","This Quarter's Action Plan","Run the five-step model on your highest-cost copay-card drugs, choose accumulator or maximizer with eyes open, and use the implementation worksheet to put the decision into the contract.","Copay Card Financial Impact Calculator","Copay Card Financial Impact Calculator - Free Download - Prescription Benefit Solutions","The Five-Step Calculator to Model the Shift. Walkthrough PBS uses across 100s of PBM contract reviews annually. Free download.","cob-audit, pbm-compensation, drug-pipeline-watch","Copay card financial impact calculator with accumulator versus maximizer decision matrix","[Upload week_20_copay_card_financial_impact_calculator.pdf to Wix Media, paste URL]","2","copay card cost shift","FALSE","FALSE","Coordination of Benefits Audit Worksheet","[Upload week_30_thursday_cob_audit_worksheet.pdf to Wix Media, paste URL]","Copay-program economics live inside the coordination-of-benefits clause. The COB Audit Worksheet checks how a single claim coordinates across programs, which is where accumulator and maximizer value is quietly captured or returned.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"rebate-report-audit","Rebate Report Audit Worksheet","TIER 2 · REBATE REPORT · AUDIT WORKSHEET","Your PBM Reports 100% Pass-Through. Audit the Noun.","The Audit Worksheet to Reconcile the Rebate Report.","A 2-page printable worksheet PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Three audit passes on the rebate report your PBM sends","Reconcile 'received' rebates against manufacturer-paid rebates","Where a rebate aggregator's cut hides before pass-through","Paste-ready broker request for the missing detail","Pull the Rebate Detail","Open your most recent rebate report. Pull rebate-per-claim and total rebate by drug. The summary number is designed to reassure; the per-drug detail is where the reconciliation happens.","Reconcile Received vs. Paid","'100% pass-through' usually means 100% of what the PBM received, not what the manufacturer paid. If a rebate aggregator took a cut first, the two numbers differ, and only one is on your report.","Audit the Definitions","Check how the contract defines 'rebate.' A narrow definition leaves market-share payments, admin allowances, and price-protection rebates outside the pass-through clause entirely.","This Quarter's Action Plan","Run the three passes, document the gap between received and paid, and send the paste-ready request for aggregator-level detail to your broker before the next quarterly review.","Rebate Report Audit Worksheet","Rebate Report Audit Worksheet - Free Download - Prescription Benefit Solutions","The Audit Worksheet to Reconcile the Rebate Report. Worksheet PBS uses across 100s of PBM contract reviews annually. Free download.","pbm-compensation, channel-pricing, quarterly-reporting","Rebate report audit worksheet reconciling received versus manufacturer-paid rebates","[Upload week_20_thursday_rebate_report_audit_worksheet.pdf to Wix Media, paste URL]","2","rebate reconciliation","FALSE","FALSE","PBM Compensation Audit Worksheet","https://f4a10ae5-926c-402e-bec1-e9ae8845f739.usrfiles.com/ugd/f4a10a_bb76ebca1b994c0db20e64985f6a5b44.pdf","Rebate retention is one of five revenue streams that flow from your plan to your PBM. The PBM Compensation Audit Worksheet maps all five, so you can see how the rebate cut fits the larger compensation picture.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"quarterly-reporting","Quarterly Reporting Checklist","TIER 2 · PBM QUARTERLY REPORT · AUDIT CHECKLIST","Your PBM's Quarterly Report Is Built to Reassure.","The 15-Line Checklist for What It Should Contain.","A 2-page printable checklist PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","15 line items a complete PBM quarterly report should contain","Check your most recent report against the full list","Paste-ready broker request for the missing lines","4-step quarterly action plan","Check the 15 Line Items","A complete quarterly report contains 15 specific line items: total spend, generic dispensing rate, mail-order penetration, specialty trend, rebate per claim, and more. Check your most recent report against the full list.","Find What's Missing","Whatever line item is missing is missing for a reason. Aggregate summaries hide the trend lines that predict your renewal. The gaps are where the negotiation leverage lives.","Request the Detail","The checklist includes paste-ready broker request language for the lines your PBM left off. Most reporting gaps close simply because you asked in writing.","This Quarter's Action Plan","Run the 15-line check, request the missing detail, and build the cadence: every quarter, the same checklist against the new report. Patterns surface across quarters that a single report hides.","Quarterly Reporting Checklist","Quarterly Reporting Checklist - Free Download - Prescription Benefit Solutions","The 15-Line Checklist for What It Should Contain. Checklist PBS uses across 100s of PBM contract reviews annually. Free download.","midyear-claims-red-flag, pbm-disclosure-audit, pbm-compensation","Quarterly reporting checklist with fifteen line items a complete PBM report should contain","[Upload week_21_quarterly_reporting_checklist.pdf to Wix Media, paste URL]","2","quarterly report completeness","FALSE","FALSE","PBM Disclosure Audit Worksheet","[Upload week_31_thursday_pbm_disclosure_audit.pdf to Wix Media, paste URL]","The quarterly report is what the PBM volunteers. The PBM Disclosure Audit Worksheet covers what the PBM owes you annually whether it volunteers it or not, and tracks which disclosures you actually received.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"biosimilar-readiness","Biosimilar Readiness Assessment","TIER 2 · BIOSIMILARS · READINESS ASSESSMENT","The Biosimilar Savings Are Real. Most Plans Miss Them.","The Six-Factor Biosimilar Readiness Assessment.","A 2-page printable scorecard PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Six-factor Strong/Moderate/Weak biosimilar readiness rubric","Formulary placement, interchangeability, and incentive alignment","Where the PBM's rebate on the reference brand blocks the switch","Readiness gaps mapped to fixes","Score Six Factors","Assess your plan's biosimilar readiness across six factors using a Strong / Moderate / Weak rubric: formulary placement, interchangeability handling, provider adoption, member incentives, and rebate-conflict exposure.","Find the Rebate Conflict","The most common reason a plan misses biosimilar savings: the PBM earns a larger rebate on the high-priced reference brand, so its formulary quietly keeps the brand preferred over cheaper biosimilars.","Map Gaps to Fixes","Each Weak score points to a specific fix, whether that's a formulary change, an interchangeability policy, or a contract term that aligns the PBM's incentive with your savings.","This Quarter's Action Plan","Score the six factors, flag the Weak ones, and require your PBM to show biosimilar uptake and the rebate differential on the reference brand. The savings are there; readiness is what captures them.","Biosimilar Readiness Assessment","Biosimilar Readiness Assessment - Free Download - Prescription Benefit Solutions","The Six-Factor Biosimilar Readiness Assessment. Scorecard PBS uses across 100s of PBM contract reviews annually. Free download.","specialty-routing, drug-pipeline-watch, pbm-compensation","Biosimilar readiness assessment scorecard with a six-factor strong-moderate-weak rubric","[Upload week_22_biosimilar_readiness_assessment.pdf to Wix Media, paste URL]","2","biosimilar savings capture","FALSE","FALSE","Specialty Routing Audit Worksheet","[Upload week_22_thursday_specialty_routing_audit_worksheet.pdf to Wix Media, paste URL]","Biosimilars are specialty drugs, and where they fill decides the price. The Specialty Routing Audit Worksheet checks the five clauses that determine whether your specialty scripts route to a competitive pharmacy or the PBM's own.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"midyear-claims-red-flag","Mid-Year Claims Red Flag Checklist","TIER 2 · MID-YEAR CLAIMS · RED FLAG CHECKLIST","Your Renewal Is Being Decided by June's Claims.","The Five-Pattern Mid-Year Red Flag Checklist.","A 2-page printable checklist PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Five claims-data patterns that predict renewal trajectory","The data-pull request to run at the H1 mark","Intervention pathway for each pattern","Renewal-prep action per red flag","Pull the Mid-Year Data","At the H1 mark, pull the claims data the checklist specifies. The patterns that will define your renewal are already in the PBM's system; the question is whether you see them before the PBM presents terms.","Scan Five Patterns","Five claims patterns predict renewal trajectory: specialty concentration shifts, generic-efficiency erosion, rebate-per-claim drift, high-cost-claimant emergence, and mail-order migration. Each is a flag the summary report hides.","Intervene Before Renewal","Each pattern carries an intervention pathway. Caught at mid-year, a drifting trend has months to correct. Caught at renewal, it is already an outcome the PBM is pricing against you.","This Quarter's Action Plan","Run the data pull, score the five patterns, and act on the red flags now. Walking into renewal with documented mid-year findings flips the leverage back to the plan sponsor.","Mid-Year Claims Red Flag Checklist","Mid-Year Claims Red Flag Checklist - Free Download - Prescription Benefit Solutions","The Five-Pattern Mid-Year Red Flag Checklist. Checklist PBS uses across 100s of PBM contract reviews annually. Free download.","h1-renewal-readiness, quarterly-reporting, pbr-framework","Mid-year claims red flag checklist with five claims-data patterns that predict renewal","[Upload week_23_midyear_claims_red_flag_checklist.pdf to Wix Media, paste URL]","2","mid-year claims patterns","FALSE","FALSE","H1 Renewal Readiness Scorecard","[Upload week_24_h1_renewal_readiness_scorecard.pdf to Wix Media, paste URL]","The red flags tell you what's drifting. The H1 Renewal Readiness Scorecard turns those patterns into a renewal-leverage score on the same five metrics the PBM already models into its proposal.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"h1-renewal-readiness","H1 Renewal Readiness Scorecard","TIER 2 · H1 RENEWAL · READINESS SCORECARD","Your PBM Already Modeled Your Renewal. Score It First.","The Five-Metric H1 Renewal Readiness Scorecard.","A 2-page printable scorecard PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Score renewal leverage on the five metrics PBMs model","GER, PMPM trend, specialty %, rebate per brand claim, high-cost claimants","See your position before the PBM presents its proposal","Convert the score into a renewal agenda","Score Five Metrics","Score your renewal readiness on the five metrics PBMs already build into their proposals: generic effective rate, PMPM trend, specialty percentage, rebate per brand claim, and high-cost-claimant count.","See What the PBM Sees","The PBM walks into renewal having modeled all five. The scorecard puts the same five in front of you first, so you are reading from the same sheet rather than reacting to theirs.","Find the Leverage","A weak score on one metric is a negotiation target, not just a problem. The scorecard turns each metric into a documented ask for the renewal table.","This Quarter's Action Plan","Score the five metrics at the H1 mark, build the renewal agenda from the weak ones, and pre-circulate the findings to your committee before the first PBM renewal meeting.","H1 Renewal Readiness Scorecard","H1 Renewal Readiness Scorecard - Free Download - Prescription Benefit Solutions","The Five-Metric H1 Renewal Readiness Scorecard. Scorecard PBS uses across 100s of PBM contract reviews annually. Free download.","pre-meeting-renewal-checklist, midyear-claims-red-flag, midyear-guarantee-audit","H1 renewal readiness scorecard scoring five metrics PBMs model into renewal proposals","[Upload week_24_h1_renewal_readiness_scorecard.pdf to Wix Media, paste URL]","2","H1 renewal leverage","FALSE","FALSE","First Renewal Meeting Pre-Meeting Checklist","[Upload week_37_thursday_pre_meeting_renewal_checklist.pdf to Wix Media, paste URL]","The scorecard builds your renewal position. The Pre-Meeting Checklist makes sure you walk into the first renewal meeting with the five documents and the counter-narrative that set the frame before the PBM does.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"contract-amendment-letter","Mid-Year Contract Amendment Letter Template","TIER 2 · MID-YEAR AMENDMENT · LETTER TEMPLATE","Five Clauses Govern Mid-Year Amendments.","Most Plan Sponsors Never Invoke Them. The Template Does.","A 2-page printable template PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Three steps to a mid-year amendment letter","Five clauses that govern when and how you can amend","Paste your audit findings into the redline letter","Ninety-day notice window, used on your timeline","Know the Five Clauses","Five contract clauses govern mid-year amendments: the amendment-rights clause, the notice window, the remediation terms, the guarantee true-up, and the termination-for-cause trigger. Most plan sponsors never invoke any of them.","Build the Letter in Three Steps","The template walks three steps: document the finding, cite the governing clause, and state the requested amendment with a deadline. Paste your audit findings straight into the redline.","Use the Notice Window","The 90-day notice window is leverage when you start it, not when the PBM does. A mid-year amendment letter beats waiting for year-end, when the renewal cycle reabsorbs every open item.","This Quarter's Action Plan","Pull your audit findings, map each to its governing clause, send the amendment letter inside the notice window, and track the PBM's response against the remediation terms.","Mid-Year Contract Amendment Letter Template","Mid-Year Contract Amendment Letter Template - Free Download - Prescription Benefit Solutions","Most Plan Sponsors Never Invoke Them. The Template Does. Template PBS uses across 100s of PBM contract reviews annually. Free download.","midyear-guarantee-audit, termination-clause-audit, optimize-vs-go-to-market","Mid-year amendment letter template with five governing clauses and a redline request","[Upload week_24_thursday_contract_amendment_letter.pdf to Wix Media, paste URL]","2","mid-year amendment","FALSE","FALSE","Mid-Year Performance Guarantee Audit","[Upload week_34_thursday_midyear_guarantee_audit.pdf to Wix Media, paste URL]","The amendment letter is the action. The Mid-Year Performance Guarantee Audit is what generates the findings that fill it: the guarantees you should check at mid-year, before year-end notification makes remediation impossible.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
